station_id,station_name,location
C0I080,信義,南投縣
467650,日月潭,南投縣
C0I540,奇萊稜線,南投縣
C0I530,小奇萊,南投縣
C0I520,玉山風口,南投縣
C0I490,萬大林道,南投縣
467550,玉山,南投縣
C0I480,梅峰,南投縣
C0I420,國姓,南投縣
C0I410,名間,南投縣
C0I390,仁愛,南投縣
C0I380,集集,南投縣
C0I460,南投,南投縣
C0I360,水里,南投縣
C0H9C0,合歡山,南投縣
C0I370,魚池,南投縣
C0H990,昆陽,南投縣
C0H960,草屯,南投縣
C0I010,廬山,南投縣
C0H950,中寮,南投縣
C0H9A0,神木村,南投縣
C0H890,埔里,南投縣
C0I090,鳳凰,南投縣
C0I110,竹山,南投縣
C0M730,嘉義市東區,嘉義市
467480,嘉義,嘉義市
C0M820,達邦,嘉義縣
C0M740,六腳,嘉義縣
C0M750,布袋,嘉義縣
C0M760,民雄,嘉義縣
C0M770,嘉義梅山,嘉義縣
C0M850,表湖,嘉義縣
C0M860,新美,嘉義縣
C0M810,里佳,嘉義縣
C0M790,新港,嘉義縣
C0M800,茶山,嘉義縣
C0M780,鹿草,嘉義縣
C0M720,番路,嘉義縣
C0M410,馬頭山,嘉義縣
C0M700,竹崎,嘉義縣
C0M690,水上,嘉義縣
C0M680,太保,嘉義縣
C0M670,大林,嘉義縣
C0M660,溪口,嘉義縣
C0M650,朴子,嘉義縣
C0M640,中埔,嘉義縣
C0M530,奮起湖,嘉義縣
C0M520,東後寮,嘉義縣
467530,阿里山,嘉義縣
C0M710,東石,嘉義縣
C0B020,基隆嶼,基隆市
466950,彭佳嶼,基隆市
466940,基隆,基隆市
C0B010,七堵,基隆市
C0U710,太平山,宜蘭縣
C0U720,南山,宜蘭縣
C0U900,內城,宜蘭縣
C0U520,雙連埤,宜蘭縣
C0U600,礁溪,宜蘭縣
C0U650,玉蘭,宜蘭縣
C0U750,龜山島,宜蘭縣
C0U760,東澳,宜蘭縣
C0U770,南澳,宜蘭縣
C0U780,五結,宜蘭縣
C0U860,頭城,宜蘭縣
C0U870,大礁溪,宜蘭縣
C0U890,三星,宜蘭縣
C0U910,冬山,宜蘭縣
C0U940,羅東,宜蘭縣
C0U960,翠峰湖,宜蘭縣
C0U950,鶯子嶺,宜蘭縣
467060,蘇澳,宜蘭縣
C0U980,坪林石牌,宜蘭縣
C0U990,員山,宜蘭縣
C0UA70,桃源谷,宜蘭縣
C0UA60,樟樹山,宜蘭縣
C0UA00,土場,宜蘭縣
C0UA10,鴛鴦湖,宜蘭縣
467080,宜蘭,宜蘭縣
C0U970,大福,宜蘭縣
C0UA20,多加屯,宜蘭縣
C0UA30,白嶺,宜蘭縣
C0UA40,西德山,宜蘭縣
C0UA50,西帽山,宜蘭縣
C0R840,牡丹池山,屏東縣
C0R820,白鷺,屏東縣
C0R760,南仁湖,屏東縣
C0R440,大漢山,屏東縣
C0R750,四林格山,屏東縣
C0R480,長治,屏東縣
C0R490,九如,屏東縣
C0R810,內獅,屏東縣
467590,恆春,屏東縣
C0R470,高樹,屏東縣
C0R800,丹路,屏東縣
C0R830,高士,屏東縣
C0R130,阿禮,屏東縣
C0R790,九棚,屏東縣
C0R540,佳冬,屏東縣
C0R100,尾寮山,屏東縣
C0R780,滿州,屏東縣
C0R770,保力,屏東縣
C0R560,新園,屏東縣
C0R570,麟洛,屏東縣
C0R580,南州,屏東縣
C0R590,里港,屏東縣
C0R600,舊泰武,屏東縣
C0R520,崁頂,屏東縣
C0R620,墾雷,屏東縣
C0R650,竹田,屏東縣
C0R660,枋寮,屏東縣
C0R670,楓港,屏東縣
C0R680,佳樂水,屏東縣
C0R690,墾丁,屏東縣
C0R700,枋山,屏東縣
C0R710,龍磐,屏東縣
C0R720,旭海,屏東縣
